organisation,records,date,type,source,location,industry
Wishbone,2487000,15/03/2017,Account Access,Malicious Outsider,United States,Technology
The National Health Service (NHS),26000000,17/03/2017,Identity Theft,Accidental Loss,United Kingdom,Healthcare
Harrisburg Gastroenterology,93323,17/03/2017,Identity Theft,Malicious Outsider,United States,Healthcare
North Carolina State Government,24000,18/03/2017,Identity Theft,Accidental Loss,United States,Government
GMO Payment Gateway,719830,19/03/2017,Identity Theft,Accidental Loss,Japan,Financial
Med Center Health,160000,19/03/2017,Identity Theft,Malicious Outsider,United States,Healthcare
America Joblink Alliance,4800000,21/03/2017,Identity Theft,Malicious Outsider,United States,Technology
New Oriental,20000000,22/03/2017,Identity Theft,Malicious Insider,China,Education
MediBoxSolutions,91800,25/03/2017,Identity Theft,Accidental Loss,United States,Healthcare
Election Committee Hong Kong,3700000,28/03/2017,Identity Theft,Malicious Outsider,Hong Kong,Government
BankGiro,450000,03/04/2017,Identity Theft,Accidental Loss,Netherlands,Financial
IRS - Data Retrieval Tool,100000,06/04/2017,Identity Theft,Malicious Outsider,United States,Government
Bengaluru Police,46000,06/04/2017,Identity Theft,Accidental Loss,India,Government
University of New Mexico Foundation,22750,07/04/2017,Identity Theft,Malicious Outsider,United States,Education
Wonga,270000,09/04/2017,Financial Access,Malicious Outsider,United Kingdom,Financial
HealthNow Networks,918000,10/04/2017,Identity Theft,Accidental Loss,United States,Healthcare
AQA,64000,11/04/2017,Account Access,Malicious Outsider,United Kingdom,Non-profit
Schoolzilla,1300000,12/04/2017,Identity Theft,Accidental Loss,United States,Education
NHS England,708000,12/04/2017,Identity Theft,Accidental Loss,United Kingdom,Healthcare
Retina-X and FlexiSpy,130000,12/04/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Cobb County,55000,12/04/2017,Existential Data,Malicious Outsider,United States,Government
Bihar's Minority Welfare Department,30000,12/04/2017,Identity Theft,Accidental Loss,India,Education
Aadhaar,1500000,13/04/2017,Financial Access,Accidental Loss,India,Financial
Metropolitan Police,30000,17/04/2017,Identity Theft,Malicious Insider,United Kingdom,Government
Airway Oxygen,500000,18/04/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Grozio Chirurgija,25000,18/04/2017,Identity Theft,Malicious Outsider,Lithuania,Healthcare
Torrance Memorial Medical Center,46632,19/04/2017,Identity Theft,Malicious Outsider,United States,Healthcare
AA,117000,22/04/2017,Existential Data,Malicious Outsider,United Kingdom,Insurance
Alliance Direct Lending Corporation,1000000,28/04/2017,Identity Theft,Accidental Loss,United States,Financial
Motor Vehicles Department in Kerala,200000000,01/05/2017,Nuisance,Malicious Outsider,India,Government
Zomato,17000000,04/05/2017,Account Access,Malicious Outsider,Global,Social Media
State Board of Elections,80000,04/05/2017,Identity Theft,Malicious Outsider,United States,Government
Williamson County Schools,33000,04/05/2017,Account Access,Malicious Outsider,United States,Education
University of Oklahoma,29000,08/05/2017,Identity Theft,Accidental Loss,United States,Education
Tampa Bay Surgery Center,134000,09/05/2017,Identity Theft,Malicious Outsider,United States,Healthcare
OC Gastrocare,34100,09/05/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Bell Canada,1901700,10/05/2017,Account Access,Malicious Outsider,Canada,Technology
Offshore Companies in Malta,70000,10/05/2017,Identity Theft,Accidental Loss,Malta,Other
Edmodo,2000000,11/05/2017,Account Access,Malicious Outsider,United States,Education
UCLA Summer Sessions & International Education,32000,18/05/2017,Identity Theft,Malicious Outsider,United States,Education
DaFont,696464,22/05/2017,Account Access,Malicious Outsider,United States,Technology
Wooster-Ashland Regional Council of Governments (WARCOG),200000,26/05/2017,Identity Theft,Malicious Outsider,United States,Government
Verizon / NICE Systems,14000000,08/06/2017,Account Access,Accidental Loss,United States,Technology
Virgin Media,800000,11/06/2017,Identity Theft,Accidental Loss,United Kingdom,Technology
Deep Root Analytics / Republican National Committee,198000000,13/06/2017,Identity Theft,Accidental Loss,United States,Government
CashCrate,6000000,15/06/2017,Account Access,Malicious Outsider,United States,Other
Tampa Bay Surgery Center,25848,20/06/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Cleveland Medical Associates,22000,20/06/2017,Identity Theft,Malicious Outsider,United States,Healthcare
Bupa,108000,22/06/2017,Identity Theft,Malicious Insider,United Kingdom,Healthcare
Enterprise Services #2,56075,27/06/2017,Identity Theft,Malicious Insider,United States,Healthcare
Bithumb,31800,30/06/2017,Account Access,Malicious Outsider,South Korea,Financial
WWE,3000000,04/07/2017,Identity Theft,Accidental Loss,United States,Entertainment
Avanti Markets,1600000,04/07/2017,Identity Theft,Malicious Outsider,United States,Financial
Wells Fargo Advisors,50000,08/07/2017,Identity Theft,Accidental Loss,United States,Financial
UniCredit SpA,400000,09/07/2017,Identity Theft,Malicious Outsider,Italy,Financial
Equifax,143000000,15/07/2017,Identity Theft,Malicious Outsider,United States,Financial
Dow Jones & Co.,2200000,18/07/2017,Financial Access,Accidental Loss,United States,Social Media
Yorkshire County,942609,25/07/2017,Identity Theft,Malicious Outsider,United Kingdom,Government
CarWise ICT,100000,07/08/2017,Identity Theft,Accidental Loss,Netherlands,Hospitality
Canoe.ca/Sun Media Corp,1000000,02/09/2017,Account Access,Malicious Outsider,Canada,Entertainment
